,index,name,flagship
608,198,university of nebraska kearney,
609,201,walsh university,
610,204,winona state university,
611,207,fontbonne university,
612,210,southern illinois university edwardsville,
613,213,university of wisconsin stout,
614,216,mckendree university,
615,219,university of wisconsin oshkosh,
616,222,concordia university chicago,
617,225,judson university,
618,228,malone university,
619,231,midamerica nazarene university,
620,234,north park university,
621,237,university of saint francis,
622,240,university of sioux falls,
623,243,william woods university,
624,246,ferris state university,
625,249,northern michigan university,
626,252,pittsburg state university,
627,255,quincy university,
628,258,college of st. mary,
629,261,grace college and seminary,
630,264,mount st. joseph university,
631,267,northwest missouri state university,
632,270,stephens college,
633,273,university of central missouri,
634,276,madonna university,
635,279,mount vernon nazarene university,
636,282,southeast missouri state university,
637,285,tiffin university,
638,288,university of wisconsin river falls,
639,291,washburn university,
640,294,greenville university,
641,297,minnesota state university mankato,
642,300,mount mary university,
643,303,northern state university,
644,306,university of michigan flint,
645,309,university of wisconsin green bay,
646,312,university of wisconsin platteville,
647,315,concordia university st. paul,
648,318,missouri state university,
649,321,ohio dominican university,
650,324,bemidji state university,
651,327,rockford university,
652,330,roosevelt university,
653,333,university of dubuque,
654,336,university of mary,
655,339,wayne state college,
656,342,cornerstone university,
657,345,mount marty college,
658,348,viterbo university,
659,351,dakota state university,
660,354,minnesota state university moorhead,
661,357,siena heights university,
662,360,st. cloud state university,
663,363,davenport university,
664,366,emporia state university,
665,369,evangel university,
666,372,marian university,
667,375,aurora university,
668,378,avila university,
669,381,black hills state university,
670,384,calumet college of st. joseph,
671,387,chicago state university,
672,390,columbia college chicago,
673,393,devry university,
674,396,fort hays state university,
675,399,friends university,
676,402,governors state university,
677,405,graceland university,
678,408,indiana university east,
679,411,indiana university northwest,
680,414,indiana university purdue university fort wayne,
681,417,indiana university south bend,
682,420,indiana university southeast,
683,423,lake erie college,
684,426,lakeland university,
685,429,lincoln university,
686,432,lourdes university,
687,435,marygrove college,
688,438,metropolitan state university,
689,441,minot state university,
690,444,missouri baptist university,
691,447,newman university,
692,450,northeastern illinois university,
693,453,notre dame college of ohio,
694,456,park university,
695,459,purdue university northwest,
696,462,saginaw valley state university,
697,465,silver lake college,
698,468,southwest baptist university,
699,471,southwestern college,
700,474,southwest minnesota state university,
701,477,university of southern indiana,
702,480,university of st. mary,
703,483,upper iowa university,
704,486,william penn university,
705,489,youngstown state university,
706,492,american intercontinental university,
707,495,antioch university,
708,498,bellevue university,
709,501,chadron state college,
710,504,columbia college,
711,507,herzing university,
712,510,kaplan university,
713,513,maharishi university of management,
714,516,peru state college,
715,0,providence college,
716,3,bentley university,
717,6,fairfield university,
718,9,college of new jersey,
719,12,loyola university maryland,
720,15,university of scranton,
721,18,emerson college,
722,21,ithaca college,
723,24,marist college,
724,27,bryant university,
725,30,st. joseph's university,
726,33,suny geneseo,
727,36,quinnipiac university,
728,39,simmons college,
729,42,manhattan college,
730,45,suny polytechnic institute,
731,48,le moyne college,
732,51,massachusetts maritime academy,
733,54,st. francis university,
734,57,cuny baruch college,
735,60,st. bonaventure university,
736,63,canisius college,
737,66,gallaudet university,
738,69,lebanon valley college,
739,72,mount st. mary's university,
740,75,rutgers university camden,
741,78,springfield college,
742,81,assumption college,
743,84,cuny hunter college,
744,87,hood college,
745,90,monmouth university,
746,93,nazareth college,
747,96,suny new paltz,
748,99,endicott college,
749,102,la salle university,
750,105,rider university,
751,108,ramapo college of new jersey,
752,111,roger williams university,
753,114,salve regina university,
754,117,wagner college,
755,120,cuny queens college,
756,123,misericordia university,
757,126,molloy college,
758,129,sacred heart university,
759,132,stockton university,
760,135,towson university,
761,138,new york institute of technology,
762,141,alfred university,
763,144,arcadia university,
764,147,gannon university,
765,150,mercyhurst university,
766,153,niagara university,
767,156,suny college cortland,
768,159,suny college oneonta,
769,162,suny oswego,
770,165,cuny city college,
771,168,marywood university,
772,171,merrimack college,
773,174,notre dame of maryland university,
774,177,seton hill university,
775,180,suny fredonia,
776,183,king's college,
777,186,suny maritime college,
778,189,college at brockport suny,
779,192,desales university,
780,195,fairleigh dickinson university,
781,198,johnson & wales university,
782,201,philadelphia university,
783,204,west chester university of pennsylvania,
784,207,western new england university,
785,210,keene state college,
786,213,st. joseph's college new york,
787,216,suny plattsburgh,
788,219,wentworth institute of technology,
789,222,chatham university,
790,225,geneva college,
791,228,iona college,
792,231,eastern university,
793,234,roberts wesleyan college,
794,237,salisbury university,
795,240,slippery rock university of pennsylvania,
796,243,university of new england,
797,246,university of st. joseph,
798,249,wilkes university,
799,252,york college of pennsylvania,
800,255,cuny brooklyn college,
801,258,eastern connecticut state university,
802,261,norwich university,
803,264,southern new hampshire university,
804,267,stevenson university,
805,270,champlain college,
806,273,college of saint rose,
807,276,suny college potsdam,
808,279,central connecticut state university,
809,282,millersville university of pennsylvania,
810,285,university of new haven,
811,288,the sage colleges,
812,291,saint peter's university,
813,294,waynesburg university,
814,297,wheelock college,
815,300,shippensburg university of pennsylvania,
816,303,bay path university,
817,306,bloomsburg university of pennsylvania,
818,309,bridgewater state university,
819,312,caldwell university,
820,315,college of our lady of the elms,
821,318,liu post,
822,321,manhattanville college,
823,324,point park university,
824,327,william paterson university of new jersey,
825,330,alvernia university,
826,333,carlow university,
827,336,cuny john jay college of criminal justice,
828,339,st. thomas aquinas college,
829,342,plymouth state university,
830,345,albertus magnus college,
831,348,mansfield university of pennsylvania,
832,351,westfield state university,
833,354,worcester state university,
834,357,cabrini university,
835,360,college of mount st. vincent,
836,363,frostburg state university,
837,366,keuka college,
838,369,suny buffalo state,
839,372,western connecticut state university,
840,375,delaware valley university,
841,378,framingham state university,
842,381,kutztown university of pennsylvania,
843,384,mount st. mary college,
844,387,daemen college,
845,390,delaware state university,
846,393,lasell college,
847,396,southern connecticut state university,
848,399,utica college,
849,402,centenary university,
850,405,st. joseph's college,
851,408,chestnut hill college,
852,411,clarion university of pennsylvania,
853,414,college of st. elizabeth,
854,417,cuny lehman college,
855,420,fitchburg state university,
856,423,georgian court university,
857,426,kean university,
858,429,lock haven university of pennsylvania,
859,432,salem state university,
860,435,anna maria college,
861,438,bowie state university,
862,441,cairn university,
863,444,california university of pennsylvania,
864,447,college of new rochelle,
865,450,coppin state university,
866,453,cuny college of staten island,
867,456,curry college,
868,459,dominican college,
869,462,d'youville college,
870,465,eastern nazarene college,
871,468,east stroudsburg university of pennsylvania,
872,471,edinboro university of pennsylvania,
873,474,felician university,
874,477,franklin pierce university,
875,480,green mountain college,
876,483,gwynedd mercy university,
877,486,harrisburg university of science and technology,
878,489,holy family university,
879,492,husson university,
880,495,johnson state college,
881,498,lincoln university,
882,501,medaille college,
883,504,metropolitan college of new york,
884,507,monroe college,
885,510,neumann university,
886,513,new england college,
887,516,new jersey city university,
888,519,nyack college,
889,522,post university,
890,525,rhode island college,
891,528,rivier university,
892,531,rosemont college,
893,534,suny college old westbury,
894,537,thomas college,
895,540,touro college,
896,543,trinity washington university,
897,546,university of baltimore,
898,549,university of bridgeport,
899,552,university of southern maine,
900,555,university of the district of columbia,
901,558,washington adventist university,
902,561,cambridge college,
903,567,fashion institute of technology,
904,570,goddard college,
905,573,mercy college,
906,576,strayer university,
907,579,suny empire state college,
908,582,thomas edison state university,
909,585,university of maryland university college,
910,0,elon university,
911,3,rollins college,
912,6,samford university,
913,9,the citadel,
914,12,belmont university,
915,15,stetson university,
916,18,james madison university,
917,21,berry college,
918,24,appalachian state university,
919,27,loyola university new orleans,
920,30,christopher newport university,
921,33,college of charleston,
922,36,embry riddle aeronautical university,
923,39,university of north carolina wilmington,
924,42,asbury university,
925,45,bellarmine university,
926,48,john brown university,
927,51,university of mary washington,
928,54,florida southern college,
929,57,queens university of charlotte,
930,60,hampton university,
931,63,university of tampa,
932,66,harding university,
933,69,milligan college,
934,72,winthrop university,
935,75,xavier university of louisiana,
936,78,campbell university,
937,81,converse college,
938,84,longwood university,
939,87,tuskegee university,
940,90,georgia college & state university,
941,93,christian brothers university,
942,96,columbia international university,
943,99,mississippi college,
944,102,murray state university,
945,105,western kentucky university,
946,108,wingate university,
947,111,lynchburg college,
948,114,university of montevallo,
949,117,western carolina university,
950,120,eastern mennonite university,
951,123,wheeling jesuit university,
952,126,marshall university,
953,129,mary baldwin university,
954,132,radford university,
955,135,freed hardeman university,
956,138,university of tennessee martin,
957,141,lee university,
958,144,university of north florida,
959,147,west virginia wesleyan college,
960,150,william carey university,
961,153,coastal carolina university,
962,156,jacksonville university,
963,159,keiser university,
964,162,marymount university,
965,165,mississippi university for women,
966,168,brenau university,
967,171,columbia college,
968,174,palm beach atlantic university,
969,177,university of tennessee chattanooga,
970,180,bob jones university,
971,183,lenoir rhyne university,
972,186,morehead state university,
973,189,saint leo university,
974,192,university of north georgia,
975,195,carson newman university,
976,198,university of south florida st. petersburg,
977,201,arkansas state university,
978,204,bryan college,
979,207,piedmont college,
980,210,southern adventist university,
981,213,university of central arkansas,
982,216,anderson university,
983,219,austin peay state university,
984,222,eastern kentucky university,
985,225,florida gulf coast university,
986,228,northern kentucky university,
987,231,belhaven university,
988,234,university of charleston,
989,237,lincoln memorial university,
990,240,north carolina central university,
991,243,north greenville university,
992,246,st. thomas university,
993,249,thomas more college,
994,252,methodist university,
995,255,university of north alabama,
996,258,elizabeth city state university,
997,261,pfeiffer university,
998,264,charleston southern university,
999,267,francis marion university,
1000,270,jacksonville state university,
1001,273,king university,
1002,276,midway university,
1003,279,troy university,
1004,282,alcorn state university,
1005,285,auburn university montgomery,
1006,288,henderson state university,
1007,291,lynn university,
1008,294,nicholls state university,
1009,297,tusculum college,
1010,300,montreat college,
1011,303,university of north carolina pembroke,
1012,306,virginia state university,
1013,309,arkansas tech university,
1014,312,mcneese state university,
1015,315,albany state university,
1016,318,amridge university,
1017,321,campbellsville university,
1018,324,columbus state university,
1019,327,cumberland university,
1020,330,faulkner university,
1021,333,louisiana college,
1022,336,winston salem state university,
1023,339,alabama agricultural and mechanical university,
1024,342,alabama state university,
1025,345,armstrong state university,
1026,348,bethel university,
1027,351,clayton state university,
1028,354,concord university,
1029,357,delta state university,
1030,360,fairmont state university,
1031,363,fayetteville state university,
1032,366,fort valley state university,
1033,369,georgia southwestern state university,
1034,372,grambling state university,
1035,375,lindsey wilson college,
1036,378,louisiana state university shreveport,
1037,381,mississippi valley state university,
1038,384,norfolk state university,
1039,387,northwestern state university of louisiana,
1040,390,savannah state university,
1041,393,south carolina state university,
1042,396,southeastern louisiana university,
1043,399,southeastern university,
1044,402,southern arkansas university,
1045,405,southern university and a&m college,
1046,408,southern university new orleans,
1047,411,southern wesleyan university,
1048,414,south university,
1049,417,thomas university,
1050,420,union college,
1051,423,university of west alabama,
1052,426,american public university system,
1053,429,hodges university,
1054,432,salem international university,
1055,435,south college,
1056,438,southeastern baptist theological seminary,
1057,441,sullivan university,
1058,444,university of arkansas monticello,
1059,0,trinity university,
1060,3,santa clara university,
1061,6,loyola marymount university,
1062,9,gonzaga university,
1063,12,chapman university,
1064,15,university of portland,
1065,18,seattle university,
1066,21,whitworth university,
1067,24,mills college,
1068,27,st. mary's college of california,
1069,30,california polytechnic state university san luis obispo,
1070,33,university of redlands,
1071,36,university of dallas,
1072,39,california lutheran university,
1073,42,st. edward's university,
1074,45,pacific lutheran university,
1075,48,point loma nazarene university,
1076,51,abilene christian university,
1077,54,western washington university,
1078,57,westminster college,
1079,60,st. mary's university of san antonio,
1080,63,pacific university,
1081,66,george fox university,
1082,69,letourneau university,
1083,72,new mexico institute of mining and technology,
1084,75,university of st. thomas,
1085,78,oklahoma city university,
1086,81,regis university,
1087,84,mount saint mary's university,
1088,87,dominican university of california,
1089,90,california baptist university,
1090,93,california state polytechnic university pomona,
1091,96,evergreen state college,
1092,99,hardin simmons university,
1093,102,san jose state university,
1094,105,university of colorado colorado springs,
1095,108,california state university chico,
1096,111,the master's university and seminary,
1097,114,california state university long beach,
1098,117,chaminade university of honolulu,
1099,120,concordia university,
1100,123,fresno pacific university,
1101,126,notre dame de namur university,
1102,129,central washington university,
1103,132,la sierra university,
1104,135,saint martin's university,
1105,138,california state university monterey bay,
1106,141,humboldt state university,
1107,144,northwest nazarene university,
1108,147,oklahoma christian university,
1109,150,oral roberts university,
1110,153,university of the incarnate word,
1111,156,walla walla university,
1112,159,university of mary hardin baylor,
1113,162,california state university stanislaus,
1114,165,holy names university,
1115,168,alaska pacific university,
1116,171,sonoma state university,
1117,174,california state university los angeles,
1118,177,hawaii pacific university,
1119,180,texas wesleyan university,
1120,183,vanguard university of southern california,
1121,186,california state university san bernardino,
1122,189,northwest university,
1123,192,university of houston clear lake,
1124,195,california state university channel islands,
1125,198,corban university,
1126,201,university of hawaii hilo,
1127,204,woodbury university,
1128,207,california state university sacramento,
1129,210,houston baptist university,
1130,213,texas a&m international university,
1131,216,california state university northridge,
1132,219,stephen f. austin state university,
1133,222,western oregon university,
1134,225,california state university san marcos,
1135,228,southern oregon university,
1136,231,southern utah university,
1137,234,university of alaska anchorage,
1138,237,university of central oklahoma,
1139,240,lubbock christian university,
1140,243,oklahoma wesleyan university,
1141,246,prescott college,
1142,249,simpson university,
1143,252,west texas a&m university,
1144,255,eastern washington university,
1145,258,our lady of the lake university,
1146,261,weber state university,
1147,264,western state colorado university,
1148,267,university of texas tyler,
1149,270,midwestern state university,
1150,273,northwest christian university,
1151,276,university of texas of the permian basin,
1152,279,california state university bakersfield,
1153,282,university of north texas at dallas,
1154,285,adams state university,
1155,288,angelo state university,
1156,291,california state university dominguez hills,
1157,294,california state university east bay,
1158,297,cameron university,
1159,300,colorado christian university,
1160,303,colorado state university pueblo,
1161,306,concordia university texas,
1162,309,east central university,
1163,312,eastern new mexico university,
1164,315,eastern oregon university,
1165,318,hope international university,
1166,321,langston university,
1167,324,metropolitan state university of denver,
1168,327,montana state university billings,
1169,330,new mexico highlands university,
1170,333,northeastern state university,
1171,336,northwestern oklahoma state university,
1172,339,sierra nevada college,
1173,342,southeastern oklahoma state university,
1174,345,southern nazarene university,
1175,348,southwestern assemblies of god university,
1176,351,southwestern oklahoma state university,
1177,354,sul ross state university,
1178,357,tarleton state university,
1179,360,texas a&m university texarkana,
1180,363,university of alaska southeast,
1181,366,university of houston downtown,
1182,369,university of houston victoria,
1183,372,university of the southwest,
1184,375,wayland baptist university,
1185,378,amberton university,
1186,381,ashford university,
1187,384,brandman university,
1188,387,city university of seattle,
1189,390,colorado technical university,
1190,393,golden gate university,
1191,396,heritage university,
1192,399,john f. kennedy university,
1193,402,marylhurst university,
1194,405,mid america christian university,
1195,408,naropa university,
1196,411,national university,
1197,414,utah valley university,
1198,417,western governors university,
1199,420,western new mexico university,